"Timestamp","Value"
5.923000,0.0007847469532862306
5.923250,0.0007843399653211236
5.923500,0.0007842779741622508
5.923750,0.0007842549821361899
5.924000,0.0007854619761928916
5.924250,0.0007855139556340873
5.924500,0.0007857269956730306
5.924750,0.0007857040036469698
5.925000,0.0007848090026527643
5.925250,0.0007847709930501878
5.925500,0.0007854769937694073
5.925750,0.00078545295400545
5.926000,0.0007853629649616778
5.926250,0.0007856279844418168
5.926500,0.0007856519659981132
5.926750,0.000785982992965728
5.927000,0.0007854150026105344
5.927250,0.0007850359543226659
5.927500,0.0007849459652788937
5.927750,0.0007850980036891997
5.928000,0.0007852349663153291
5.928250,0.0007854619761928916
5.928500,0.0007858789758756757
5.928750,0.0007857799646444619
5.929000,0.0007857269956730306
5.929250,0.0007856899756006896
5.929500,0.0007856899756006896
5.929750,0.0007858549943193793
5.930000,0.0007859930046834052
5.930250,0.0007857419550418854
5.930500,0.000785793992690742
5.930750,0.000785565993282944
5.931000,0.00078545295400545
5.931250,0.0007853769930079579
5.931500,0.0007854150026105344
5.931750,0.0007855899748392403
5.932000,0.0007854769937694073
5.932250,0.0007857040036469698
5.932500,0.0007857799646444619
5.932750,0.0007857559830881655
5.933000,0.0007859930046834052
5.933250,0.0007859930046834052
5.933500,0.0007862820057198405
5.933750,0.0007867880049161613
5.934000,0.0007865229854360223
5.934250,0.0007864990038797259
5.934500,0.0007863339851610363
5.934750,0.0007861729827709496
5.935000,0.0007857040036469698
5.935250,0.0007851639529690146
5.935500,0.0007853249553591013
5.935750,0.0007853489951230586
5.936000,0.0007861579651944339
5.936250,0.0007863189675845206
5.936500,0.0007866219966672361
5.936750,0.0007860589539632201
5.937000,0.0007858699536882341
5.937250,0.0007859549950808287
5.937500,0.0007860210025683045
5.937750,0.0007863949867896736
5.938000,0.000786727003287524
5.938250,0.0007868779939599335
5.938500,0.0007865849765948951
5.938750,0.0007866129744797945
5.939000,0.0007859930046834052
5.939250,0.0007853389834053814
5.939500,0.0007850739639252424
5.939750,0.0007851359550841153
5.940000,0.0007851260015740991
5.940250,0.0007854999857954681
5.940500,0.0007856659940443933
5.940750,0.0007859169854782522
5.941000,0.0007860969635657966
5.941250,0.0007858029566705227
5.941500,0.000785793992690742
5.941750,0.0007855899748392403
5.942000,0.0007857040036469698
5.942250,0.0007860589539632201
5.942500,0.0007864469662308693
5.942750,0.0007864609942771494
5.943000,0.0007861059857532382
5.943250,0.0007857040036469698
5.943500,0.000785528973210603
5.943750,0.0007852729759179056
5.944000,0.0007858930039219558
5.944250,0.0007863719947636127
5.944500,0.0007864469662308693
5.944750,0.0007865849765948951
5.945000,0.0007867359672673047
5.945250,0.0007865369552746415
5.945500,0.0007862479542382061
5.945750,0.0007861729827709496
5.946000,0.0007861439953558147
5.946250,0.000786650984082371
5.946500,0.0007870160043239594
5.946750,0.0007870389963500202
5.947000,0.0007867119857110083
5.947250,0.0007866129744797945
5.947500,0.0007865469669923186
5.947750,0.0007864469662308693
5.948000,0.0007865990046411753
5.948250,0.0007868880056776106
5.948500,0.0007871669949963689
5.948750,0.0007870389963500202
5.949000,0.0007872189744375646
5.949250,0.0007870909757912159
5.949500,0.0007866749656386673
5.949750,0.0007865469669923186
5.950000,0.0007866889936849475
5.950250,0.0007869629771448672
5.950500,0.0007872569840401411
5.950750,0.0007873559952713549
5.951000,0.0007870529661886394
5.951250,0.0007865849765948951
5.951500,0.0007861820049583912
5.951750,0.0007859689649194479
5.952000,0.0007860309560783207
5.952250,0.0007862959755584598
5.952500,0.0007863949867896736
5.952750,0.0007867880049161613
5.953000,0.0007866600062698126
5.953250,0.00078691600356251
5.953500,0.0007864329963922501
5.953750,0.0007864329963922501
5.954000,0.0007862959755584598
5.954250,0.0007867359672673047
5.954500,0.0007868119864724576
5.954750,0.0007870529661886394
5.955000,0.0007867499953135848
5.955250,0.0007861210033297539
5.955500,0.0007854769937694073
5.955750,0.0007853389834053814
5.956000,0.000784595962613821
5.956250,0.0007846569642424583
5.956500,0.0007848319946788251
5.956750,0.0007852870039641857
5.957000,0.000785528973210603
5.957250,0.0007850499823689461
5.957500,0.0007851260015740991
5.957750,0.0007847849628888071
5.958000,0.0007850599940866232
5.958250,0.0007848229724913836
5.958500,0.0007853489951230586
5.958750,0.0007853489951230586
5.959000,0.0007849749526940286
5.959250,0.0007849980029277503
5.959500,0.0007849079556763172
5.959750,0.00078486098209396
5.960000,0.0007846810040064156
5.960250,0.0007850219844840467
5.960500,0.0007851260015740991
5.960750,0.000785387004725635
5.961000,0.0007857419550418854
5.961250,0.0007858789758756757
5.961500,0.0007856040028855205
5.961750,0.0007857559830881655
5.962000,0.0007855899748392403
5.962250,0.0007857650052756071
5.962500,0.0007857419550418854
5.962750,0.0007858789758756757
5.963000,0.0007862199563533068
5.963250,0.0007856659940443933
5.963500,0.0007860679761506617
5.963750,0.000785793992690742
5.964000,0.0007861959747970104
5.964250,0.0007860069745220244
5.964500,0.0007860309560783207
5.964750,0.000785528973210603
5.965000,0.0007857559830881655
5.965250,0.0007859930046834052
5.965500,0.0007856799638830125
5.965750,0.0007858699536882341
5.966000,0.0007862579659558833
5.966250,0.0007861349731683731
5.966500,0.0007861959747970104
5.966750,0.0007862479542382061
5.967000,0.0007862109923735261
5.967250,0.0007863339851610363
5.967500,0.0007862479542382061
5.967750,0.0007859449833631516
5.968000,0.0007854009745642543
5.968250,0.0007857040036469698
5.968500,0.0007851639529690146
5.968750,0.0007858320022933185
5.969000,0.0007860829937271774
5.969250,0.0007855760050006211
5.969500,0.000785641954280436
5.969750,0.0007860210025683045
5.970000,0.0007862820057198405
5.970250,0.000786574964877218
5.970500,0.0007867739768698812
5.970750,0.0007870770059525967
5.971000,0.0007869259570725262
5.971250,0.0007861579651944339
5.971500,0.0007861210033297539
5.971750,0.0007856139563955367
5.972000,0.0007850980036891997
5.972250,0.0007849599933251739
5.972500,0.000784937001299113
5.972750,0.0007850879919715226
5.973000,0.0007851729751564562
5.973250,0.0007852729759179056
5.973500,0.0007848229724913836
5.973750,0.0007843920029699802
5.974000,0.0007843920029699802
5.974250,0.0007849219837225974
5.974500,0.0007849599933251739
5.974750,0.0007854389841668308
5.975000,0.0007860309560783207
5.975250,0.0007859549950808287
5.975500,0.0007855899748392403
5.975750,0.0007851359550841153
5.976000,0.0007851499831303954
5.976250,0.0007850499823689461
5.976500,0.0007855899748392403
5.976750,0.0007853489951230586
5.977000,0.0007859930046834052
5.977250,0.0007857799646444619
5.977500,0.0007858169847168028
5.977750,0.0007853769930079579
5.978000,0.0007855899748392403
5.978250,0.0007856279844418168
5.978500,0.0007860210025683045
5.978750,0.0007859069737605751
5.979000,0.000785717973485589
5.979250,0.0007855139556340873
5.979500,0.000785300973802805
5.979750,0.0007854150026105344
5.980000,0.0007855379953980446
5.980250,0.0007853629649616778
5.980500,0.000785717973485589
5.980750,0.000785528973210603
5.981000,0.0007858169847168028
5.981250,0.0007861349731683731
5.981500,0.0007859689649194479
5.981750,0.0007860449841246009
5.982000,0.0007860449841246009
5.982250,0.0007863719947636127
5.982500,0.0007865849765948951
5.982750,0.0007867119857110083
5.983000,0.0007864239742048085
5.983250,0.0007862820057198405
5.983500,0.0007862820057198405
5.983750,0.0007856799638830125
5.984000,0.0007853769930079579
5.984250,0.0007858930039219558
5.984500,0.0007856659940443933
5.984750,0.0007860589539632201
5.985000,0.0007864990038797259
5.985250,0.0007867119857110083
5.985500,0.0007867119857110083
5.985750,0.0007860679761506617
5.986000,0.0007861059857532382
5.986250,0.0007863100036047399
5.986500,0.0007863100036047399
5.986750,0.0007868019747547805
5.987000,0.0007864089566282928
5.987250,0.0007865369552746415
5.987500,0.0007861059857532382
5.987750,0.000785528973210603
5.988000,0.0007857799646444619
5.988250,0.0007850359543226659
5.988500,0.0007850499823689461
5.988750,0.0007852019625715911
5.989000,0.0007847329834476113
5.989250,0.0007853389834053814
5.989500,0.0007852729759179056
5.989750,0.0007850499823689461
5.990000,0.0007850119727663696
5.990250,0.000785565993282944
5.990500,0.0007851639529690146
5.990750,0.000785528973210603
5.991000,0.0007857040036469698
5.991250,0.0007857419550418854
5.991500,0.0007855139556340873
5.991750,0.0007855139556340873
5.992000,0.0007852019625715911
5.992250,0.0007855899748392403
5.992500,0.000785793992690742
5.992750,0.000785641954280436
5.993000,0.0007856799638830125
5.993250,0.0007860069745220244
5.993500,0.0007858549943193793
5.993750,0.0007855379953980446
5.994000,0.0007862109923735261
5.994250,0.0007859309553168714
5.994500,0.0007859549950808287
5.994750,0.0007864469662308693
5.995000,0.0007864849758334458
5.995250,0.0007869399851188064
5.995500,0.0007862109923735261
5.995750,0.0007863479549996555
5.996000,0.0007858549943193793
5.996250,0.000785387004725635
5.996500,0.0007856659940443933
5.996750,0.0007854619761928916
5.997000,0.000785793992690742
