Time (s),Current (mA)
4.340769,0.79311007
4.340914,0.79460549
4.341060,0.79836291
4.341205,0.79749894
4.341350,0.79474413
4.341495,0.79588950
4.341641,0.79636592
4.341786,0.79655176
4.341931,0.79811001
4.342076,0.79934090
4.342222,0.79683048
4.342367,0.79752338
4.342512,0.79458338
4.342657,0.79652309
4.342803,0.79678971
4.342948,0.79790473
4.343093,0.79931033
4.343238,0.79270047
4.343384,0.79572231
4.343529,0.79591554
4.343674,0.79223412
4.343819,0.79431432
4.343965,0.79827505
4.344110,0.79621911
4.344255,0.79639846
4.344400,0.79746014
4.344546,0.79555315
4.344691,0.79351544
4.344836,0.79589736
4.344981,0.80241150
4.345127,0.79450577
4.345272,0.79745620
4.345417,0.79441828
4.345562,0.79674304
4.345708,0.79435295
4.345853,0.79724008
4.345998,0.79213595
4.346143,0.79853827
4.346288,0.80092603
4.346433,0.79558986
4.346579,0.79642922
4.346724,0.79704446
4.346870,0.79391491
4.347015,0.79701209
4.347160,0.79797381
4.347305,0.79565877
4.347450,0.79640055
4.347595,0.79498869
4.347741,0.79170406
4.347886,0.79416746
4.348031,0.79279011
4.348177,0.79897416
4.348322,0.79764366
4.348467,0.79401082
4.348612,0.79533899
4.348757,0.79259044
4.348903,0.79483795
4.349048,0.79880911
4.349194,0.79613549
4.349338,0.79350126
4.349484,0.79500282
4.349629,0.79776168
4.349774,0.78906941
4.349920,0.79623735
4.350065,0.79458529
4.350210,0.79601371
4.350356,0.79729736
4.350500,0.79393733
4.350646,0.79743773
4.350791,0.79005170
4.350936,0.79767823
4.351081,0.79611748
4.351227,0.79714048
4.351372,0.79484797
4.351517,0.79189950
4.351662,0.79654932
4.351808,0.79307139
4.351953,0.79492164
4.352099,0.79349303
4.352244,0.79509032
4.352389,0.79605234
4.352534,0.79736233
4.352680,0.79416317
4.352824,0.79545921
4.352970,0.79575270
4.353115,0.79247630
4.353261,0.79935312
4.353406,0.79444665
4.353552,0.79423648
4.353696,0.79764569
4.353842,0.79491937
4.353987,0.79419607
4.354132,0.79321814
4.354278,0.79854214
4.354423,0.79558551
4.354568,0.79817355
4.354713,0.79572618
4.354858,0.79649425
4.355004,0.79841572
4.355149,0.79698128
4.355295,0.79329771
4.355440,0.79907149
4.355585,0.79436928
4.355730,0.79325867
4.355875,0.79018021
4.356020,0.79522693
4.356166,0.79823625
4.356311,0.79550815
4.356457,0.79276538
4.356602,0.79824477
4.356747,0.79830569
4.356892,0.79331779
4.357037,0.79611528
4.357183,0.79563051
4.357328,0.79827935
4.357473,0.79556352
4.357619,0.79535735
4.357763,0.79799408
4.357909,0.79266572
4.358054,0.79362947
4.358199,0.79792076
4.358345,0.79647404
4.358490,0.79591382
4.358635,0.79839969
4.358780,0.79744792
4.358925,0.79535949
4.359071,0.79478085
4.359216,0.80039644
4.359362,0.79440403
4.359507,0.79614192
4.359652,0.79363555
4.359797,0.79918796
4.359943,0.79349720
4.360088,0.79786170
4.360233,0.79609078
4.360378,0.79691231
4.360524,0.79748458
4.360669,0.79576087
4.360814,0.79859942
4.360959,0.79489487
4.361104,0.79900873
4.361250,0.79823035
4.361395,0.79563445
4.361540,0.79830396
4.361686,0.79542071
4.361831,0.79648614
4.361976,0.79206896
4.362121,0.80184066
4.362267,0.79462618
4.362412,0.79874188
4.362557,0.79273713
4.362702,0.79986852
4.362848,0.79905152
4.362992,0.79716063
4.363138,0.79678565
4.363283,0.79712397
4.363429,0.79748267
4.363574,0.79718310
4.363719,0.79487044
4.363864,0.79362112
4.364009,0.79493362
4.364154,0.79380298
4.364300,0.79131693
4.364445,0.79815912
4.364591,0.79421049
4.364736,0.79432636
4.364881,0.79611951
4.365026,0.79276145
4.365171,0.79778415
4.365316,0.79846674
4.365462,0.79691631
4.365607,0.79446077
4.365752,0.79460752
4.365897,0.79530650
4.366043,0.79231733
4.366188,0.79630500
4.366333,0.79562831
4.366479,0.79397398
4.366624,0.79774338
4.366769,0.79262316
4.366914,0.79644150
4.367059,0.79886413
4.367205,0.79010874
4.367350,0.79608876
4.367496,0.79922062
4.367641,0.79332989
4.367786,0.79536772
4.367931,0.79356843
4.368076,0.79471380
4.368221,0.79510283
4.368367,0.79477453
4.368512,0.79980314
4.368657,0.79972392
4.368802,0.79354805
4.368948,0.79600769
4.369093,0.79832834
4.369238,0.79378867
4.369383,0.79303259
4.369529,0.80039442
4.369674,0.79496616
4.369819,0.79487062
4.369964,0.79641509
4.370109,0.79356641
4.370255,0.79615605
4.370400,0.79334635
4.370545,0.79798573
4.370691,0.79828745
4.370836,0.79487461
4.370981,0.79143310
4.371126,0.79794693
4.371272,0.79797757
4.371416,0.79639465
4.371562,0.79648823
4.371707,0.79807967
4.371853,0.79415137
4.371997,0.79608685
4.372143,0.79371113
4.372288,0.79679185
4.372433,0.79453433
4.372579,0.79868889
4.372724,0.79751915
4.372869,0.79487842
4.373014,0.79937971
4.373159,0.79444051
4.373305,0.79686338
4.373450,0.79461765
4.373596,0.79909235
4.373740,0.79467082
4.373886,0.79435915
4.374031,0.79507202
4.374176,0.79788607
4.374321,0.79550403
4.374467,0.79318571
4.374612,0.79716486
4.374757,0.79691231
4.374902,0.79413110
4.375048,0.79955256
4.375193,0.79696506
4.375338,0.79402065
4.375483,0.79934293
4.375629,0.80115032
4.375774,0.79142714
4.375919,0.79431826
4.376064,0.79766405
4.376210,0.79537594
4.376355,0.79418397
4.376500,0.79647410
4.376645,0.79874378
4.376791,0.79763728
4.376936,0.79560000
4.377081,0.79616231
4.377226,0.79848319
4.377372,0.79728681
4.377517,0.79416138
4.377662,0.80028433
4.377807,0.79421622
4.377953,0.80018443
4.378098,0.79632950
4.378243,0.79203826
4.378388,0.79690623
4.378534,0.79959148
4.378679,0.79573238
4.378824,0.79613990
4.378969,0.79309154
4.379115,0.79951000
4.379260,0.79979116
4.379405,0.79555708
4.379550,0.79851371
4.379696,0.79507250
